0000	0000	0000	0000		NOP 		 0000 0000 0000 0000
0000	01rd	dddd	rrrr		CPC 		 0000 01rd dddd rrrr
0000	10rd	dddd	rrrr		SBC 		 0000 10rd dddd rrrr
0000	11dd	dddd	dddd		LSL 		 0000 11dd dddd dddd
0000	11rd	dddd	rrrr		ADD 		 0000 11rd dddd rrrr
0001	00rd	dddd	rrrr		CPSE 		 0001 00rd dddd rrrr
0001	01rd	dddd	rrrr		CP 		 0001 01rd dddd rrrr
0001	10rd	dddd	rrrr		SUB 		 0001 10rd dddd rrrr
0001	11dd	dddd	dddd		ROL 		 0001 11dd dddd dddd
0001	11rd	dddd	rrrr		ADC 		 0001 11rd dddd rrrr
0010	00dd	dddd	dddd		TST 		 0010 00dd dddd dddd
0010	00rd	dddd	rrrr		AND 		 0010 00rd dddd rrrr
0010	01dd	dddd	dddd		CLR 		 0010 01dd dddd dddd
0010	01rd	dddd	rrrr		EOR 		 0010 01rd dddd rrrr
0010	10rd	dddd	rrrr		OR 		 0010 10rd dddd rrrr
0010	11rd	dddd	rrrr		MOV 		 0010 11rd dddd rrrr
0011	KKKK	dddd	KKKK		CPI 		 0011 KKKK dddd KKKK
0100	KKKK	dddd	KKKK		SBCI 		 0100 KKKK dddd KKKK
0101	KKKK	dddd	KKKK		SUBI 		 0101 KKKK dddd KKKK
0110	KKKK	dddd	KKKK		SBR	ORI	 0110 KKKK dddd KKKK
0111	KKKK	dddd	KKKK		ANDI 		 0111 KKKK dddd KKKK
1000	000d	dddd	0000		LD 		 1000 000d dddd 0000
1000	000d	dddd	1000		LD 		 1000 000d dddd 1000
1000	001r	rrrr	0000		ST 		 1000 001r rrrr 0000
1000	001r	rrrr	1000		ST 		 1000 001r rrrr 1000
1001	000d	dddd	0001		LD 		 1001 000d dddd 0001
1001	000d	dddd	0010		LD 		 1001 000d dddd 0010
1001	000d	dddd	1001		LD 		 1001 000d dddd 1001
1001	000d	dddd	1010		LD 		 1001 000d dddd 1010
1001	000d	dddd	1100		LD 		 1001 000d dddd 1100
1001	000d	dddd	1101		LD 		 1001 000d dddd 1101
1001	000d	dddd	1110		LD 		 1001 000d dddd 1110
1001	000d	dddd	1111		POP 		 1001 000d dddd 1111
1001	001d	dddd	1111		PUSH 		 1001 001d dddd 1111
1001	001r	rrrr	0001		ST 		 1001 001r rrrr 0001
1001	001r	rrrr	0010		ST 		 1001 001r rrrr 0010
1001	001r	rrrr	1001		ST 		 1001 001r rrrr 1001
1001	001r	rrrr	1010		ST 		 1001 001r rrrr 1010
1001	001r	rrrr	1100		ST 		 1001 001r rrrr 1100
1001	001r	rrrr	1101		ST 		 1001 001r rrrr 1101
1001	001r	rrrr	1110		ST 		 1001 001r rrrr 1110
1001	0100	0000	1000		SEC 		 1001 0100 0000 1000
1001	0100	0000	1001		IJMP 		 1001 0100 0000 1001
1001	0100	0001	1000		SEZ 		 1001 0100 0001 1000
1001	0100	0010	1000		SEN 		 1001 0100 0010 1000
1001	0100	0011	1000		SEV 		 1001 0100 0011 1000
1001	0100	0100	1000		SES 		 1001 0100 0100 1000
1001	0100	0101	1000		SEH 		 1001 0100 0101 1000
1001	0100	0110	1000		SET 		 1001 0100 0110 1000
1001	0100	0111	1000		SEI 		 1001 0100 0111 1000
1001	0100	0sss	1000		BSET 	cf prev	 1001 0100 0sss 1000
1001	0100	1000	1000		CLC 		 1001 0100 1000 1000
1001	0100	1001	1000		CLZ 		 1001 0100 1001 1000
1001	0100	1010	1000		CLN 		 1001 0100 1010 1000
1001	0100	1011	1000		CLV 		 1001 0100 1011 1000
1001	0100	1100	1000		CLS 		 1001 0100 1100 1000
1001	0100	1101	1000		CLH 		 1001 0100 1101 1000
1001	0100	1110	1000		CLT 		 1001 0100 1110 1000
1001	0100	1111	1000		CLI 		 1001 0100 1111 1000
1001	0100	1sss	1000		BCLR 	cf prev	 1001 0100 1sss 1000
1001	0101	0000	1000		RET 		 1001 0101 0000 1000
1001	0101	0000	1001		ICALL 		 1001 0101 0000 1001
1001	0101	0001	1000		RETI 		 1001 0101 0001 1000
1001	0101	1000	1000		SLEEP 		 1001 0101 1000 1000
1001	0101	1001	1000		BREAK 		 1001 0101 1001 1000
1001	0101	1010	1000		WDR 		 1001 0101 1010 1000
1001	010d	dddd	0000		COM 		 1001 010d dddd 0000
1001	010d	dddd	0001		NEG 		 1001 010d dddd 0001
1001	010d	dddd	0010		SWAP 		 1001 010d dddd 0010
1001	010d	dddd	0011		INC 		 1001 010d dddd 0011
1001	010d	dddd	0101		ASR 		 1001 010d dddd 0101
1001	010d	dddd	0110		LSR 		 1001 010d dddd 0110
1001	010d	dddd	0111		ROR 		 1001 010d dddd 0111
1001	010d	dddd	1010		DEC 		 1001 010d dddd 1010
1001	1000	AAAA	Abbb		CBI 		 1001 1000 AAAA Abbb
1001	1001	AAAA	Abbb		SBIC 		 1001 1001 AAAA Abbb
1001	1010	AAAA	Abbb		SBI 		 1001 1010 AAAA Abbb
1001	1011	AAAA	Abbb		SBIS 		 1001 1011 AAAA Abbb
1010	0kkk	dddd	kkkk		LDS 		 1010 0kkk dddd kkkk
1010	1kkk	dddd	kkkk		STS 		 1010 1kkk dddd kkkk
1011	0AAd	dddd	AAAA		IN 		 1011 0AAd dddd AAAA
1011	1AAr	rrrr	AAAA		OUT 		 1011 1AAr rrrr AAAA
1100	kkkk	kkkk	kkkk		RJMP 		 1100 kkkk kkkk kkkk
1101	kkkk	kkkk	kkkk		RCALL 		 1101 kkkk kkkk kkkk
1110	1111	dddd	1111		SER 	cf LDI	 1110 1111 dddd 1111
1110	KKKK	dddd	KKKK		LDI 		 1110 KKKK dddd KKKK
1111	00kk	kkkk	k000		BRLO 	BRCS	 1111 00kk kkkk k000
1111	00kk	kkkk	k001		BREQ 		 1111 00kk kkkk k001
1111	00kk	kkkk	k010		BRMI 		 1111 00kk kkkk k010
1111	00kk	kkkk	k011		BRVS 		 1111 00kk kkkk k011
1111	00kk	kkkk	k100		BRLT 		 1111 00kk kkkk k100
1111	00kk	kkkk	k101		BRHS 		 1111 00kk kkkk k101
1111	00kk	kkkk	k110		BRTS 		 1111 00kk kkkk k110
1111	00kk	kkkk	ksss		BRBS 	cf prev	 1111 00kk kkkk ksss
1111	01kk	kkkk	k000		BRSH 	BRCC	 1111 01kk kkkk k000
1111	01kk	kkkk	k001		BRNE 		 1111 01kk kkkk k001
1111	01kk	kkkk	k010		BRPL 		 1111 01kk kkkk k010
1111	01kk	kkkk	k011		BRIE 	BRVC	 1111 01kk kkkk k011
1111	01kk	kkkk	k100		BRGE 		 1111 01kk kkkk k100
1111	01kk	kkkk	k101		BRHC 		 1111 01kk kkkk k101
1111	01kk	kkkk	k110		BRTC 		 1111 01kk kkkk k110
1111	01kk	kkkk	k111		BRID 		 1111 01kk kkkk k111
1111	01kk	kkkk	ksss		BRBC 	cf prev	 1111 01kk kkkk ksss
1111	100d	dddd	0bbb		BLD 		 1111 100d dddd 0bbb
1111	101d	dddd	0bbb		BST 		 1111 101d dddd 0bbb
1111	110r	rrrr	0bbb		SBRS 	SBRC	 1111 110r rrrr 0bbb
					CBR 		TODO
